id;fonction;service;utilisateur_id;autorite_id
1;quand déclarer;spécialiste bof;1;1
2;contre au moyen de représenter;aïe snif réparer;2;2
3;disputer toc-toc insister;par suite de;3;3
4;aux alentours de;autrement;4;4
5;différer réparer à partir de;carrément;5;5
6;concernant touriste;en decà de trop;6;6
7;dorénavant fourbe sus;sous couleur de rédaction;7;7
8;personnel;jusqu’à ce que jeune enfant;8;8
9;en fourbe insuffisamment;conseil municipal;9;9
10;bzzz;placide au-dedans de;10;10
11;au-dessous de pour que jusqu’à ce que;peu;11;11
12;ouah touriste snif;opposer;12;12
13;pendant reporter spécialiste;crac;13;13
14;meuh sympathique à l'exception de;communauté étudiante rectorat;14;14
15;à bas de fonctionnaire;entre divinement;15;15
16;ordonner souple;pauvre secours;16;16
17;en chut résoudre;psitt réveiller touriste;17;17
18;chut;broum autour de proclamer;18;18
19;derechef direction;même;19;19
20;dans la mesure où fourbe;à l'encontre de;20;20
21;réduire;du fait que;21;21
22;contre;lors de athlète;22;22
23;spécialiste membre à vie trier;refaire magenta vaste;23;23
24;sage;bien;24;24
25;vers fonctionnaire;police coac coac;25;25
26;diplomate;pourvu que simple smack;26;26
27;à raison de;aïe;27;27
28;de façon à ce que;âcre;28;28
29;rectorat toc-toc;depuis porte-parole bon;29;29
30;personnel devoir premièrement;déployer;30;30
