id;titre;description;categorie;latitude;longitude;adresse;date_creation;date_ma_j;etat
1;étranger dès que trop peu;chut;PRET_MATERIEL;7014.3;28030.24;perplexe verser;2026-04-24T16:17:04;2026-04-24T12:03:47;SUPPRIMEE
2;équilibrer comme;après prestataire de services;HEBERGEMENT;16396.67;16060.24;euh;2026-04-24T11:37:16;2026-04-25T01:47:24;PUBLIEE
3;vu que lors de monter;toc dès que sincère;AUTRE;30227.15;3974.01;touriste fort hors;2026-04-25T05:43:47;2026-04-25T01:22:49;SUPPRIMEE
4;oui cogner moyennant;prout dès depuis;PRET_VEHICULE;14536.86;3191.13;rédaction que;2026-04-24T19:47:17;2026-04-25T07:24:37;ARCHIVEE
5;engloutir gonfler;solitaire prou;STOCKAGE;352.92;27220.9;pin-pon à côté de vite;2026-04-25T05:06:43;2026-04-24T11:33:59;MODEREE
6;sans ah hé;hors épuiser;DON_VETEMENTS;17891.38;1852.77;vu que enfin;2026-04-24T11:26:14;2026-04-24T21:19:03;ARCHIVEE
7;serviable encore;antique;ACCUEIL_ANIMAUX;31755.95;3207.9;gens spécialiste;2026-04-24T21:11:42;2026-04-24T14:41:16;PUBLIEE
8;à bas de sympathique;ouch regretter espiègle;ACCUEIL_ANIMAUX;3084.3;16569.37;boum;2026-04-24T18:48:19;2026-04-24T10:56:22;ARCHIVEE
9;avant-hier là-haut agréable;patientèle triathlète;PRET_VEHICULE;17583.16;21561.98;rectangulaire créer tarder;2026-04-24T20:05:03;2026-04-24T23:24:30;SUPPRIMEE
10;de manière à ce que lorsque;toc;STOCKAGE;26766.33;6669.68;collègue;2026-04-24T11:01:34;2026-04-24T21:36:35;SUPPRIMEE
11;franco;auparavant tellement en dedans de;STOCKAGE;18829.67;13188.08;ronron à condition que;2026-04-24T21:52:33;2026-04-24T10:44:50;ARCHIVEE
12;bè lancer;là de manière à ce que parlementaire;PRET_MATERIEL;1629.83;26039.07;divinement;2026-04-25T07:41:37;2026-04-24T20:50:15;ARCHIVEE
13;former;pendant tchou tchouu adepte;HEBERGEMENT;17923.52;3037.64;mairie perplexe;2026-04-25T03:54:30;2026-04-25T03:56:43;SUPPRIMEE
14;recommencer tôt;électorat autant;AUTRE;1698.42;17894.52;drelin collègue;2026-04-24T16:24:55;2026-04-24T10:19:13;MODEREE
15;moyennant vorace;spécialiste hâter;AUTRE;6290.35;29032.19;vouh au lieu de porte-parole;2026-04-25T05:29:40;2026-04-24T10:42:53;ARCHIVEE
16;afin que ouille restreindre;autant;PRET_MATERIEL;26723.79;27210.77;de crainte que sauter;2026-04-24T15:09:48;2026-04-24T14:48:39;MODEREE
17;hypocrite à défaut de;hors;NETTOYAGE;27505;14829.23;groin groin tant mature;2026-04-24T11:47:37;2026-04-25T05:08:36;ARCHIVEE
18;moins alors que vlan;crac;PRET_VEHICULE;23658.4;21224.73;timide;2026-04-25T00:16:01;2026-04-25T08:28:37;MODEREE
19;arriver déduire;mature afin que insipide;PRET_MATERIEL;2836.92;6437.51;actionnaire taire secours;2026-04-25T06:52:18;2026-04-25T02:25:50;SUPPRIMEE
20;entièrement;en dehors de ding;DON_COUCHAGE;5771.58;11947.86;cot cot;2026-04-25T00:31:00;2026-04-24T22:26:51;ARCHIVEE
21;aggraver délégation;communauté étudiante volontiers;STOCKAGE;12235.53;28933.49;enfin boum après-demain;2026-04-24T21:46:35;2026-04-24T19:57:50;MODEREE
22;pff;partout;DON_VETEMENTS;15007.38;19149.28;dormir ramener;2026-04-24T15:11:27;2026-04-24T19:32:26;SUPPRIMEE
23;ci à bas de;cocorico survivre lors;ACCUEIL_ANIMAUX;1529.18;22316.12;craindre corps enseignant;2026-04-25T00:01:04;2026-04-24T13:50:19;ARCHIVEE
24;perfectionner présidence;autour;HEBERGEMENT;548.8;1854.11;sacrifier;2026-04-24T20:10:24;2026-04-24T12:32:21;ARCHIVEE
25;pendant que revenir;raisonner perplexe sourire;AUTRE;17033.28;14868.74;police hebdomadaire;2026-04-25T07:30:40;2026-04-24T12:46:48;MODEREE
26;pêcher du moment que magenta;ha ha grâce à aimer;PRET_MATERIEL;29552.37;1129.44;par suite de;2026-04-24T21:47:48;2026-04-24T22:36:00;MODEREE
27;toc-toc;de manière à ce que lier lâche;ACCUEIL_ANIMAUX;21562.09;22729.1;engloutir afin que;2026-04-24T21:00:04;2026-04-25T03:36:47;SUPPRIMEE
28;lectorat;cuicui psitt imiter;NETTOYAGE;27852.68;10251.28;bof puisque;2026-04-24T20:59:56;2026-04-25T04:25:16;SUPPRIMEE
29;population du Québec bang;lorsque associer lorsque;PRET_MATERIEL;6384.83;2937.57;responsable au défaut de;2026-04-25T09:30:31;2026-04-24T13:48:33;SUPPRIMEE
30;souple perplexe un peu;coordonner pauvre adversaire;HEBERGEMENT;5830.14;30731.42;actionnaire neutre;2026-04-25T02:06:53;2026-04-24T14:06:43;PUBLIEE
