id;nom;type;territoire;contact
1;exclure;AUTRE;ah;en outre de diététiste alors que
2;admirablement lâche vouloir;PREFET;membre du personnel secouriste;jeune enfant en plus de drelin
3;de la part de dans la mesure où;AUTRE;triste;précipiter zzzz porte-parole
4;coupable répartir ouah;PRESIDENT_METROPOLE;toc-toc à l'exception de;à demi
5;juriste aïe tard;AUTRE;sitôt que tard cot cot;à peu près
6;tellement;AUTRE;tant;grandement dans la mesure où
7;sombre;AUTRE;boum ding;population du Québec ensuite
8;gens à demi;MAIRE;pendant que jusqu’à ce que prout;quoique de crainte que coupable
9;équipe candide derrière;PRESIDENT_METROPOLE;dorénavant à l'entour de;boucher
10;multiple;MAIRE;administration;aussitôt que rectorat
11;raide;PRESIDENT_METROPOLE;ha ha sous;au-dessus de du fait que commissionnaire
12;débile membre du personnel sitôt que;PRESIDENT_METROPOLE;ouille;ensuite depuis dater
13;sans que cyan;AUTRE;partout quant à;loin de ah
14;sans que comparer biathlète;MAIRE;en faveur de adorable lors;relire tchou tchouu atchoum
15;lâche rose dorénavant;MAIRE;grrr bè clac;pourvu que où avare
16;entièrement hormis;AUTRE;délégation habile demander;sans
17;déjà nonobstant rectangulaire;AUTRE;bien que conseil d’administration;aussitôt que
18;snif;PREFET;plic aussitôt;pourvu que
19;moyennant au point que;AUTRE;dorénavant près sans doute;avant dessiner hôte
20;tout spécialiste;PRESIDENT_METROPOLE;gueuler dès que;extatique secouriste sale
21;si bien que commissionnaire après;PRESIDENT_METROPOLE;quasi;longtemps tromper outre
22;nettoyer de façon à ce que;AUTRE;hé entre assurément;marron
23;réconcilier contenter;PRESIDENT_METROPOLE;redresser vide;de peur de
24;tôt;PRESIDENT_METROPOLE;ah areu areu;intéresser peut-être
25;ouin ouf suffisamment;PRESIDENT_METROPOLE;prestataire de services tant affable;insipide ci
26;extatique assez;MAIRE;rectorat foule marron;serrer quelque
27;calme;PRESIDENT_METROPOLE;de façon que de manière à ce que;dans
28;au-dedans de triangulaire;PRESIDENT_METROPOLE;plouf;raide interrompre loin
29;novice premièrement;PREFET;après que fidèle population du Québec;si incalculable flatter
30;accentuer triathlète crac;PRESIDENT_METROPOLE;tellement lors de;périr sans doute
