id;titre;description;type;date_debut;date_fin;zone_geographique;cloturee;autorite_id
1;afin que ha carrément;de la part de planquer tant;SEISME;2026-04-25T07:49:09;2026-04-25T06:58:28;gai tout novice;true;1
2;manier smack émérite;grâce à tchou tchouu à travers;SEISME;2026-04-25T02:23:38;2026-04-24T15:10:58;personnel;false;2
3;gigantesque dorénavant au-dessus de;au défaut de coac coac crever;ACCIDENT_INDUSTRIEL;2026-04-24T10:57:33;2026-04-25T03:30:55;juriste pacifique groin groin;true;3
4;personnel professionnel glouglou snif;hormis;GLISSEMENT_TERRAIN;2026-04-24T17:11:55;2026-04-24T11:15:47;administration sombre;false;4
5;malade à défaut de pour que;énorme tant tant;INONDATION;2026-04-25T08:03:23;2026-04-25T02:08:00;membre à vie;true;5
6;à condition que filer;vaincre oh ci;TEMPETE;2026-04-25T02:40:37;2026-04-24T19:59:30;avex biathlète areu areu;false;6
7;communauté étudiante varier horrible;contribuer;SEISME;2026-04-24T17:32:39;2026-04-25T05:27:34;précisément;false;7
8;de façon à ce que;intrépide;GLISSEMENT_TERRAIN;2026-04-25T09:03:30;2026-04-24T12:08:01;trop peu à demi guide;true;8
9;toc-toc spécialiste autour;antagoniste;ACCIDENT_INDUSTRIEL;2026-04-25T02:04:34;2026-04-25T05:56:54;copier;false;9
10;ouah rattacher;résulter du moment que alors que;AUTRE;2026-04-25T05:49:10;2026-04-24T12:42:06;sous couleur de en plus de;true;10
11;ah;de sorte que;INCENDIE;2026-04-25T08:50:06;2026-04-25T00:35:19;broum;false;11
12;splendide;au cas où blablabla;TEMPETE;2026-04-24T15:55:01;2026-04-24T17:07:20;distinguer franco;true;12
13;hors quitte à lunatique;pour désagréable;INCENDIE;2026-04-24T10:43:49;2026-04-24T16:12:17;délégation;true;13
14;ha;au cas où;TEMPETE;2026-04-24T17:11:48;2026-04-24T12:17:16;envisager;true;14
15;rafraîchir;pin-pon;TEMPETE;2026-04-24T19:09:33;2026-04-24T18:54:25;hebdomadaire au dépens de pschitt;true;15
16;sous;oh gueuler cuicui;AUTRE;2026-04-25T09:46:10;2026-04-25T02:04:00;concurrence;false;16
17;ouch;de façon à ce que main-d’œuvre;TEMPETE;2026-04-24T23:39:32;2026-04-24T14:32:07;zzzz hors;true;17
18;dès;subito foule au lieu de;INONDATION;2026-04-24T23:13:22;2026-04-25T05:09:48;lorsque;false;18
19;autant porte-parole;téméraire coin-coin égoïste;TEMPETE;2026-04-24T21:23:12;2026-04-25T06:34:19;par guide;true;19
20;chut de la part de prestataire de services;flotter;INONDATION;2026-04-24T13:55:40;2026-04-25T03:12:07;durant;true;20
21;assez pardonner étant donné que;croâ vlan arrière;SEISME;2026-04-24T11:32:54;2026-04-25T01:22:38;chut hi;true;21
22;spécialiste aux alentours de si;ouin patientèle ha;TEMPETE;2026-04-24T15:42:48;2026-04-25T03:12:34;rectangulaire responsable moyennant;false;22
23;accommoder décider entre-temps;vroum quelquefois;INONDATION;2026-04-24T17:11:57;2026-04-25T06:09:57;chut maîtriser;false;23
24;ouch presque;à moins de souple;INCENDIE;2026-04-24T22:09:15;2026-04-24T18:35:34;gratis;true;24
25;de façon que;ha peut-être;INONDATION;2026-04-25T00:31:24;2026-04-24T21:41:00;actionnaire pour que;false;25
26;extrêmement;biathlète smack gestionnaire;TEMPETE;2026-04-25T01:40:00;2026-04-24T18:50:36;égoïste promener;false;26
27;ouah pour que hormis;pourpre;AUTRE;2026-04-24T12:08:59;2026-04-24T17:06:24;amorphe vanter;false;27
28;combien abaisser;buter brusque mener;GLISSEMENT_TERRAIN;2026-04-25T02:16:38;2026-04-24T20:51:10;oh quitter avant que;true;28
29;propre;à l'insu de même si à travers;INCENDIE;2026-04-24T12:33:49;2026-04-24T12:51:17;mince tantôt;false;29
30;rouler;errer en faveur de;SEISME;2026-04-25T07:27:32;2026-04-25T03:26:52;vouh;true;30
