id;etat_demande;date_fermeture;quantite;annonce_id;sinistre_id;crise_id
1;RESOLUE;2026-04-25T09:06:53;463;1;1;1
2;EN_COURS;2026-04-25T04:34:31;21013;2;2;2
3;FERMEE;2026-04-24T16:23:17;24722;3;3;3
4;EN_COURS;2026-04-25T02:37:44;15790;4;4;4
5;EN_COURS;2026-04-24T11:28:32;23394;5;5;5
6;EN_COURS;2026-04-24T18:48:39;25953;6;6;6
7;FERMEE;2026-04-24T21:16:47;8868;7;7;7
8;OUVERTE;2026-04-24T20:32:20;25382;8;8;8
9;RESOLUE;2026-04-24T13:37:56;29377;9;9;9
10;FERMEE;2026-04-24T16:03:31;24135;10;10;10
11;RESOLUE;2026-04-25T07:54:06;30426;11;11;11
12;EN_COURS;2026-04-24T19:59:46;29855;12;12;12
13;RESOLUE;2026-04-25T03:31:44;28029;13;13;13
14;EN_COURS;2026-04-24T20:59:59;6606;14;14;14
15;RESOLUE;2026-04-24T16:30:01;28806;15;15;15
16;EN_COURS;2026-04-25T04:39:13;6609;16;16;16
17;RESOLUE;2026-04-24T14:33:47;13326;17;17;17
18;FERMEE;2026-04-24T20:32:43;20938;18;18;18
19;OUVERTE;2026-04-25T01:40:19;16648;19;19;19
20;OUVERTE;2026-04-24T10:39:25;10966;20;20;20
21;RESOLUE;2026-04-25T08:34:31;32724;21;21;21
22;RESOLUE;2026-04-25T07:26:09;8374;22;22;22
23;EN_COURS;2026-04-24T22:26:27;8379;23;23;23
24;EN_COURS;2026-04-24T23:44:38;10224;24;24;24
25;OUVERTE;2026-04-24T21:45:04;14859;25;25;25
26;FERMEE;2026-04-25T06:09:40;30723;26;26;26
27;RESOLUE;2026-04-25T06:09:37;30150;27;27;27
28;RESOLUE;2026-04-25T05:34:14;30643;28;28;28
29;EN_COURS;2026-04-24T16:10:08;32417;29;29;29
30;FERMEE;2026-04-25T01:02:51;15312;30;30;30
