id;date_action;motif;type;administrateur_id
1;2026-04-24T15:41:36;autrement;SUPPRESSION;1
2;2026-04-24T13:33:57;communauté étudiante partenaire de façon à ce que;BANNISSEMENT;2
3;2026-04-24T19:19:28;dessus prestataire de services à l'entour de;AVERTISSEMENT;3
4;2026-04-24T10:58:52;bof frapper;SUPPRESSION;4
5;2026-04-24T13:53:31;moyennant;AVERTISSEMENT;5
6;2026-04-24T11:51:14;comme;SUPPRESSION;6
7;2026-04-25T07:05:10;du moment que commis de cuisine cependant;MASQUAGE;7
8;2026-04-25T01:28:17;immense membre à vie;AVERTISSEMENT;8
9;2026-04-25T05:25:42;smack drelin;BANNISSEMENT;9
10;2026-04-24T17:09:21;certainement déborder engager;BANNISSEMENT;10
11;2026-04-25T10:09:29;à partir de là;MASQUAGE;11
12;2026-04-24T12:10:32;dorénavant adepte;SUPPRESSION;12
13;2026-04-25T07:46:44;près au-dessus de infime;MASQUAGE;13
14;2026-04-25T05:16:52;badaboum présidence si;BANNISSEMENT;14
15;2026-04-24T18:08:52;au cas où antique;AVERTISSEMENT;15
16;2026-04-25T04:02:21;accumuler population du Québec;BANNISSEMENT;16
17;2026-04-24T15:29:16;proche de;SUPPRESSION;17
18;2026-04-25T01:11:31;hôte céans que;SUPPRESSION;18
19;2026-04-25T04:55:44;à condition que;SUPPRESSION;19
20;2026-04-24T17:38:55;de façon à ce que extrêmement en;MASQUAGE;20
21;2026-04-25T03:49:22;autour de par;SUPPRESSION;21
22;2026-04-24T21:50:56;hé;AVERTISSEMENT;22
23;2026-04-24T16:00:23;aspirer débile comme;AVERTISSEMENT;23
24;2026-04-25T05:53:30;caresser broum quoique;SUPPRESSION;24
25;2026-04-24T12:58:00;clientèle vroum debout;MASQUAGE;25
26;2026-04-25T08:57:10;plic;SUPPRESSION;26
27;2026-04-25T04:16:21;refroidir suivant anéantir;AVERTISSEMENT;27
28;2026-04-24T21:40:41;prestataire de services adorable âcre;BANNISSEMENT;28
29;2026-04-25T04:02:56;vraiment comme;AVERTISSEMENT;29
30;2026-04-25T02:12:42;membre de l’équipe sauvage;MASQUAGE;30
