id;disponible_de;disponible_jusqua;quantite;annonce_id;citoyen_id;crise_id
1;2026-04-24T11:38:20;2026-04-25T02:24:57;20742;1;1;1
2;2026-04-24T12:05:15;2026-04-24T17:26:47;26630;2;2;2
3;2026-04-24T23:49:59;2026-04-24T14:59:38;17180;3;3;3
4;2026-04-24T11:29:28;2026-04-24T18:02:10;9846;4;4;4
5;2026-04-25T06:02:48;2026-04-25T09:05:57;19129;5;5;5
6;2026-04-25T07:30:09;2026-04-24T18:27:28;28883;6;6;6
7;2026-04-24T12:50:58;2026-04-24T19:05:35;13100;7;7;7
8;2026-04-24T14:22:00;2026-04-25T04:36:38;7642;8;8;8
9;2026-04-24T18:06:33;2026-04-25T05:27:36;7174;9;9;9
10;2026-04-25T07:17:20;2026-04-24T20:31:38;11999;10;10;10
11;2026-04-24T13:14:52;2026-04-25T02:33:00;8980;11;11;11
12;2026-04-25T04:03:02;2026-04-25T02:58:27;26019;12;12;12
13;2026-04-24T23:16:48;2026-04-24T11:56:43;25952;13;13;13
14;2026-04-24T11:31:18;2026-04-24T18:54:38;30739;14;14;14
15;2026-04-24T12:08:10;2026-04-25T00:09:58;1729;15;15;15
16;2026-04-24T21:20:06;2026-04-24T13:28:00;9682;16;16;16
17;2026-04-24T19:28:48;2026-04-24T15:34:08;15063;17;17;17
18;2026-04-25T09:28:40;2026-04-24T16:44:02;12613;18;18;18
19;2026-04-24T11:48:34;2026-04-25T08:51:24;30177;19;19;19
20;2026-04-25T03:27:52;2026-04-24T14:08:29;5977;20;20;20
21;2026-04-25T00:41:45;2026-04-24T21:02:09;10957;21;21;21
22;2026-04-24T17:03:08;2026-04-25T07:51:50;31706;22;22;22
23;2026-04-24T12:21:53;2026-04-25T08:28:04;27583;23;23;23
24;2026-04-25T00:28:36;2026-04-25T09:49:45;27799;24;24;24
25;2026-04-24T12:36:59;2026-04-24T19:22:08;27881;25;25;25
26;2026-04-24T22:33:57;2026-04-24T16:36:09;14476;26;26;26
27;2026-04-25T03:34:07;2026-04-25T04:54:07;14189;27;27;27
28;2026-04-25T06:03:52;2026-04-24T12:20:19;13082;28;28;28
29;2026-04-24T12:22:47;2026-04-24T23:04:50;28575;29;29;29
30;2026-04-25T04:16:33;2026-04-25T02:30:35;13717;30;30;30
